,Date,Features,0,Region
201,Oct 2007,Two_storey,369300,Ontario
202,Oct 2007,Townhouse,219600,Ontario
203,Oct 2007,Apartment,222600,Ontario
204,Nov 2007,Composite,316300,Ontario
205,Nov 2007,Single_family,342500,Ontario
206,Nov 2007,One_storey,278900,Ontario
207,Nov 2007,Two_storey,372400,Ontario
208,Nov 2007,Townhouse,221300,Ontario
209,Nov 2007,Apartment,224800,Ontario
210,Dec 2007,Composite,319200,Ontario
211,Dec 2007,Single_family,345900,Ontario
212,Dec 2007,One_storey,280600,Ontario
213,Dec 2007,Two_storey,376400,Ontario
214,Dec 2007,Townhouse,223000,Ontario
215,Dec 2007,Apartment,226900,Ontario
216,Jan 2008,Composite,321400,Ontario
217,Jan 2008,Single_family,348200,Ontario
218,Jan 2008,One_storey,282700,Ontario
219,Jan 2008,Two_storey,378600,Ontario
220,Jan 2008,Townhouse,224600,Ontario
221,Jan 2008,Apartment,229600,Ontario
222,Feb 2008,Composite,322100,Ontario
223,Feb 2008,Single_family,348800,Ontario
224,Feb 2008,One_storey,283700,Ontario
225,Feb 2008,Two_storey,379200,Ontario
226,Feb 2008,Townhouse,225400,Ontario
227,Feb 2008,Apartment,231200,Ontario
228,Mar 2008,Composite,321500,Ontario
229,Mar 2008,Single_family,348000,Ontario
230,Mar 2008,One_storey,283100,Ontario
231,Mar 2008,Two_storey,378200,Ontario
232,Mar 2008,Townhouse,225000,Ontario
233,Mar 2008,Apartment,232500,Ontario
234,Apr 2008,Composite,321200,Ontario
235,Apr 2008,Single_family,347500,Ontario
236,Apr 2008,One_storey,282800,Ontario
237,Apr 2008,Two_storey,377500,Ontario
238,Apr 2008,Townhouse,226500,Ontario
239,Apr 2008,Apartment,232800,Ontario
240,May 2008,Composite,320200,Ontario
241,May 2008,Single_family,346200,Ontario
242,May 2008,One_storey,282400,Ontario
243,May 2008,Two_storey,375900,Ontario
244,May 2008,Townhouse,227000,Ontario
245,May 2008,Apartment,232800,Ontario
246,Jun 2008,Composite,319100,Ontario
247,Jun 2008,Single_family,344900,Ontario
248,Jun 2008,One_storey,281800,Ontario
249,Jun 2008,Two_storey,374200,Ontario
250,Jun 2008,Townhouse,226900,Ontario
251,Jun 2008,Apartment,232300,Ontario
252,Jul 2008,Composite,317900,Ontario
253,Jul 2008,Single_family,343200,Ontario
254,Jul 2008,One_storey,279600,Ontario
255,Jul 2008,Two_storey,372600,Ontario
256,Jul 2008,Townhouse,227100,Ontario
257,Jul 2008,Apartment,232700,Ontario
258,Aug 2008,Composite,316800,Ontario
259,Aug 2008,Single_family,341900,Ontario
260,Aug 2008,One_storey,279300,Ontario
261,Aug 2008,Two_storey,370800,Ontario
262,Aug 2008,Townhouse,227400,Ontario
263,Aug 2008,Apartment,232900,Ontario
264,Sep 2008,Composite,315800,Ontario
265,Sep 2008,Single_family,340600,Ontario
266,Sep 2008,One_storey,278400,Ontario
267,Sep 2008,Two_storey,369300,Ontario
268,Sep 2008,Townhouse,227300,Ontario
269,Sep 2008,Apartment,232200,Ontario
270,Oct 2008,Composite,312700,Ontario
271,Oct 2008,Single_family,336900,Ontario
272,Oct 2008,One_storey,276000,Ontario
273,Oct 2008,Two_storey,365100,Ontario
274,Oct 2008,Townhouse,226700,Ontario
275,Oct 2008,Apartment,231900,Ontario
276,Nov 2008,Composite,310500,Ontario
277,Nov 2008,Single_family,334300,Ontario
278,Nov 2008,One_storey,272500,Ontario
279,Nov 2008,Two_storey,363100,Ontario
280,Nov 2008,Townhouse,226300,Ontario
281,Nov 2008,Apartment,230300,Ontario
282,Dec 2008,Composite,306700,Ontario
283,Dec 2008,Single_family,330400,Ontario
284,Dec 2008,One_storey,269500,Ontario
285,Dec 2008,Two_storey,358500,Ontario
286,Dec 2008,Townhouse,223100,Ontario
287,Dec 2008,Apartment,228300,Ontario
288,Jan 2009,Composite,304100,Ontario
289,Jan 2009,Single_family,327800,Ontario
290,Jan 2009,One_storey,267500,Ontario
291,Jan 2009,Two_storey,355800,Ontario
292,Jan 2009,Townhouse,223100,Ontario
293,Jan 2009,Apartment,223000,Ontario
294,Feb 2009,Composite,301800,Ontario
295,Feb 2009,Single_family,325000,Ontario
296,Feb 2009,One_storey,266000,Ontario
297,Feb 2009,Two_storey,352300,Ontario
298,Feb 2009,Townhouse,222100,Ontario
299,Feb 2009,Apartment,223700,Ontario
300,Mar 2009,Composite,301600,Ontario
301,Mar 2009,Single_family,324700,Ontario
302,Mar 2009,One_storey,264200,Ontario
303,Mar 2009,Two_storey,352700,Ontario
304,Mar 2009,Townhouse,221700,Ontario
305,Mar 2009,Apartment,223600,Ontario
306,Apr 2009,Composite,303800,Ontario
307,Apr 2009,Single_family,327100,Ontario
308,Apr 2009,One_storey,267000,Ontario
309,Apr 2009,Two_storey,354900,Ontario
310,Apr 2009,Townhouse,221400,Ontario
311,Apr 2009,Apartment,225600,Ontario
312,May 2009,Composite,307200,Ontario
313,May 2009,Single_family,331100,Ontario
314,May 2009,One_storey,269800,Ontario
315,May 2009,Two_storey,359300,Ontario
316,May 2009,Townhouse,222200,Ontario
317,May 2009,Apartment,228000,Ontario
318,Jun 2009,Composite,311900,Ontario
319,Jun 2009,Single_family,336300,Ontario
320,Jun 2009,One_storey,273600,Ontario
321,Jun 2009,Two_storey,365200,Ontario
322,Jun 2009,Townhouse,224000,Ontario
323,Jun 2009,Apartment,231400,Ontario
324,Jul 2009,Composite,316500,Ontario
325,Jul 2009,Single_family,341400,Ontario
326,Jul 2009,One_storey,277200,Ontario
327,Jul 2009,Two_storey,370700,Ontario
328,Jul 2009,Townhouse,226800,Ontario
329,Jul 2009,Apartment,235100,Ontario
330,Aug 2009,Composite,321000,Ontario
331,Aug 2009,Single_family,346100,Ontario
332,Aug 2009,One_storey,280400,Ontario
333,Aug 2009,Two_storey,376200,Ontario
334,Aug 2009,Townhouse,228900,Ontario
335,Aug 2009,Apartment,239500,Ontario
336,Sep 2009,Composite,325500,Ontario
337,Sep 2009,Single_family,351000,Ontario
338,Sep 2009,One_storey,283700,Ontario
339,Sep 2009,Two_storey,381800,Ontario
340,Sep 2009,Townhouse,230900,Ontario
341,Sep 2009,Apartment,243300,Ontario
342,Oct 2009,Composite,330500,Ontario
343,Oct 2009,Single_family,356700,Ontario
344,Oct 2009,One_storey,288400,Ontario
345,Oct 2009,Two_storey,388000,Ontario
346,Oct 2009,Townhouse,233900,Ontario
347,Oct 2009,Apartment,246900,Ontario
348,Nov 2009,Composite,334800,Ontario
349,Nov 2009,Single_family,361000,Ontario
350,Nov 2009,One_storey,290500,Ontario
351,Nov 2009,Two_storey,393400,Ontario
352,Nov 2009,Townhouse,236200,Ontario
353,Nov 2009,Apartment,251400,Ontario
354,Dec 2009,Composite,338500,Ontario
355,Dec 2009,Single_family,365200,Ontario
356,Dec 2009,One_storey,295200,Ontario
357,Dec 2009,Two_storey,397200,Ontario
358,Dec 2009,Townhouse,240000,Ontario
359,Dec 2009,Apartment,254800,Ontario
360,Jan 2010,Composite,341400,Ontario
361,Jan 2010,Single_family,367800,Ontario
362,Jan 2010,One_storey,295200,Ontario
363,Jan 2010,Two_storey,400900,Ontario
364,Jan 2010,Townhouse,242500,Ontario
365,Jan 2010,Apartment,259200,Ontario
366,Feb 2010,Composite,344400,Ontario
367,Feb 2010,Single_family,371400,Ontario
368,Feb 2010,One_storey,296700,Ontario
369,Feb 2010,Two_storey,405500,Ontario
370,Feb 2010,Townhouse,243900,Ontario
371,Feb 2010,Apartment,260000,Ontario
372,Mar 2010,Composite,345700,Ontario
373,Mar 2010,Single_family,372800,Ontario
374,Mar 2010,One_storey,298000,Ontario
375,Mar 2010,Two_storey,406800,Ontario
376,Mar 2010,Townhouse,245800,Ontario
377,Mar 2010,Apartment,261300,Ontario
378,Apr 2010,Composite,345700,Ontario
379,Apr 2010,Single_family,372700,Ontario
380,Apr 2010,One_storey,298500,Ontario
381,Apr 2010,Two_storey,406400,Ontario
382,Apr 2010,Townhouse,247900,Ontario
383,Apr 2010,Apartment,261300,Ontario
384,May 2010,Composite,345000,Ontario
385,May 2010,Single_family,371800,Ontario
386,May 2010,One_storey,297400,Ontario
387,May 2010,Two_storey,405800,Ontario
388,May 2010,Townhouse,248500,Ontario
389,May 2010,Apartment,260800,Ontario
390,Jun 2010,Composite,343700,Ontario
391,Jun 2010,Single_family,370400,Ontario
392,Jun 2010,One_storey,296200,Ontario
393,Jun 2010,Two_storey,404200,Ontario
394,Jun 2010,Townhouse,248800,Ontario
395,Jun 2010,Apartment,259800,Ontario
396,Jul 2010,Composite,343100,Ontario
397,Jul 2010,Single_family,369900,Ontario
398,Jul 2010,One_storey,296600,Ontario
399,Jul 2010,Two_storey,403200,Ontario
400,Jul 2010,Townhouse,247500,Ontario
401,Jul 2010,Apartment,258900,Ontario
402,Aug 2010,Composite,343500,Ontario
403,Aug 2010,Single_family,370800,Ontario
404,Aug 2010,One_storey,296500,Ontario
405,Aug 2010,Two_storey,404700,Ontario
406,Aug 2010,Townhouse,247500,Ontario
407,Aug 2010,Apartment,256700,Ontario
408,Sep 2010,Composite,344300,Ontario
409,Sep 2010,Single_family,371400,Ontario
410,Sep 2010,One_storey,296700,Ontario
411,Sep 2010,Two_storey,405300,Ontario
412,Sep 2010,Townhouse,248700,Ontario
413,Sep 2010,Apartment,257800,Ontario
414,Oct 2010,Composite,345100,Ontario
415,Oct 2010,Single_family,372500,Ontario
416,Oct 2010,One_storey,297400,Ontario
417,Oct 2010,Two_storey,406700,Ontario
418,Oct 2010,Townhouse,249200,Ontario
419,Oct 2010,Apartment,258300,Ontario
420,Nov 2010,Composite,347000,Ontario
421,Nov 2010,Single_family,374700,Ontario
422,Nov 2010,One_storey,299200,Ontario
423,Nov 2010,Two_storey,409100,Ontario
424,Nov 2010,Townhouse,250700,Ontario
425,Nov 2010,Apartment,259100,Ontario
426,Dec 2010,Composite,348700,Ontario
427,Dec 2010,Single_family,376400,Ontario
428,Dec 2010,One_storey,299900,Ontario
429,Dec 2010,Two_storey,411300,Ontario
430,Dec 2010,Townhouse,252100,Ontario
431,Dec 2010,Apartment,261000,Ontario
432,Jan 2011,Composite,351400,Ontario
433,Jan 2011,Single_family,379500,Ontario
434,Jan 2011,One_storey,302100,Ontario
435,Jan 2011,Two_storey,414600,Ontario
436,Jan 2011,Townhouse,252600,Ontario
437,Jan 2011,Apartment,262800,Ontario
438,Feb 2011,Composite,353900,Ontario
439,Feb 2011,Single_family,382300,Ontario
440,Feb 2011,One_storey,304600,Ontario
441,Feb 2011,Two_storey,417500,Ontario
442,Feb 2011,Townhouse,254300,Ontario
443,Feb 2011,Apartment,265400,Ontario
444,Mar 2011,Composite,356600,Ontario
445,Mar 2011,Single_family,385200,Ontario
446,Mar 2011,One_storey,306000,Ontario
447,Mar 2011,Two_storey,421000,Ontario
448,Mar 2011,Townhouse,256000,Ontario
449,Mar 2011,Apartment,267600,Ontario
450,Apr 2011,Composite,359000,Ontario
451,Apr 2011,Single_family,387900,Ontario
452,Apr 2011,One_storey,308100,Ontario
453,Apr 2011,Two_storey,424000,Ontario
454,Apr 2011,Townhouse,256700,Ontario
455,Apr 2011,Apartment,269300,Ontario
456,May 2011,Composite,361400,Ontario
457,May 2011,Single_family,390800,Ontario
458,May 2011,One_storey,309700,Ontario
459,May 2011,Two_storey,427500,Ontario
460,May 2011,Townhouse,257500,Ontario
461,May 2011,Apartment,270500,Ontario
462,Jun 2011,Composite,364300,Ontario
463,Jun 2011,Single_family,394100,Ontario
464,Jun 2011,One_storey,311800,Ontario
465,Jun 2011,Two_storey,431200,Ontario
466,Jun 2011,Townhouse,258000,Ontario
467,Jun 2011,Apartment,272700,Ontario
468,Jul 2011,Composite,366800,Ontario
469,Jul 2011,Single_family,396600,Ontario
470,Jul 2011,One_storey,313300,Ontario
471,Jul 2011,Two_storey,434100,Ontario
472,Jul 2011,Townhouse,261100,Ontario
473,Jul 2011,Apartment,274800,Ontario
474,Aug 2011,Composite,369300,Ontario
475,Aug 2011,Single_family,399200,Ontario
476,Aug 2011,One_storey,315400,Ontario
477,Aug 2011,Two_storey,437000,Ontario
478,Aug 2011,Townhouse,263800,Ontario
479,Aug 2011,Apartment,276700,Ontario
480,Sep 2011,Composite,371700,Ontario
481,Sep 2011,Single_family,402000,Ontario
482,Sep 2011,One_storey,317100,Ontario
483,Sep 2011,Two_storey,440300,Ontario
484,Sep 2011,Townhouse,265300,Ontario
485,Sep 2011,Apartment,277500,Ontario
486,Oct 2011,Composite,373800,Ontario
487,Oct 2011,Single_family,404700,Ontario
488,Oct 2011,One_storey,319000,Ontario
489,Oct 2011,Two_storey,443200,Ontario
490,Oct 2011,Townhouse,265700,Ontario
491,Oct 2011,Apartment,278100,Ontario
492,Nov 2011,Composite,376300,Ontario
493,Nov 2011,Single_family,407500,Ontario
494,Nov 2011,One_storey,321800,Ontario
495,Nov 2011,Two_storey,446100,Ontario
496,Nov 2011,Townhouse,267800,Ontario
497,Nov 2011,Apartment,279600,Ontario
498,Dec 2011,Composite,379200,Ontario
499,Dec 2011,Single_family,411300,Ontario
500,Dec 2011,One_storey,324600,Ontario
501,Dec 2011,Two_storey,450300,Ontario
502,Dec 2011,Townhouse,268300,Ontario
503,Dec 2011,Apartment,279900,Ontario
504,Jan 2012,Composite,381900,Ontario
505,Jan 2012,Single_family,414400,Ontario
506,Jan 2012,One_storey,328400,Ontario
507,Jan 2012,Two_storey,453200,Ontario
508,Jan 2012,Townhouse,270700,Ontario
509,Jan 2012,Apartment,280900,Ontario
510,Feb 2012,Composite,383800,Ontario
511,Feb 2012,Single_family,416400,Ontario
512,Feb 2012,One_storey,328300,Ontario
513,Feb 2012,Two_storey,456100,Ontario
514,Feb 2012,Townhouse,272000,Ontario
515,Feb 2012,Apartment,281700,Ontario
516,Mar 2012,Composite,386100,Ontario
517,Mar 2012,Single_family,419500,Ontario
518,Mar 2012,One_storey,331600,Ontario
519,Mar 2012,Two_storey,459100,Ontario
520,Mar 2012,Townhouse,273100,Ontario
521,Mar 2012,Apartment,280800,Ontario
522,Apr 2012,Composite,388300,Ontario
523,Apr 2012,Single_family,422200,Ontario
524,Apr 2012,One_storey,333100,Ontario
525,Apr 2012,Two_storey,462300,Ontario
526,Apr 2012,Townhouse,274800,Ontario
527,Apr 2012,Apartment,281000,Ontario
528,May 2012,Composite,389200,Ontario
529,May 2012,Single_family,423200,Ontario
530,May 2012,One_storey,335100,Ontario
531,May 2012,Two_storey,463100,Ontario
532,May 2012,Townhouse,275800,Ontario
533,May 2012,Apartment,281400,Ontario
534,Jun 2012,Composite,389500,Ontario
535,Jun 2012,Single_family,423500,Ontario
536,Jun 2012,One_storey,334300,Ontario
537,Jun 2012,Two_storey,464000,Ontario
538,Jun 2012,Townhouse,276600,Ontario
539,Jun 2012,Apartment,281500,Ontario
540,Jul 2012,Composite,390400,Ontario
541,Jul 2012,Single_family,424700,Ontario
542,Jul 2012,One_storey,334700,Ontario
543,Jul 2012,Two_storey,465700,Ontario
544,Jul 2012,Townhouse,277800,Ontario
545,Jul 2012,Apartment,280600,Ontario
546,Aug 2012,Composite,389900,Ontario
547,Aug 2012,Single_family,424100,Ontario
548,Aug 2012,One_storey,335100,Ontario
549,Aug 2012,Two_storey,464800,Ontario
550,Aug 2012,Townhouse,277000,Ontario
551,Aug 2012,Apartment,280300,Ontario
552,Sep 2012,Composite,390200,Ontario
553,Sep 2012,Single_family,424500,Ontario
554,Sep 2012,One_storey,335300,Ontario
555,Sep 2012,Two_storey,465400,Ontario
556,Sep 2012,Townhouse,276800,Ontario
557,Sep 2012,Apartment,280000,Ontario
558,Oct 2012,Composite,390700,Ontario
559,Oct 2012,Single_family,425000,Ontario
560,Oct 2012,One_storey,335300,Ontario
561,Oct 2012,Two_storey,466200,Ontario
562,Oct 2012,Townhouse,278200,Ontario
563,Oct 2012,Apartment,279400,Ontario
564,Nov 2012,Composite,390800,Ontario
565,Nov 2012,Single_family,425500,Ontario
566,Nov 2012,One_storey,336100,Ontario
567,Nov 2012,Two_storey,466600,Ontario
568,Nov 2012,Townhouse,276600,Ontario
569,Nov 2012,Apartment,277700,Ontario
570,Dec 2012,Composite,392600,Ontario
571,Dec 2012,Single_family,427400,Ontario
572,Dec 2012,One_storey,338000,Ontario
573,Dec 2012,Two_storey,468500,Ontario
574,Dec 2012,Townhouse,278200,Ontario
575,Dec 2012,Apartment,278200,Ontario
576,Jan 2013,Composite,392700,Ontario
577,Jan 2013,Single_family,427600,Ontario
578,Jan 2013,One_storey,337700,Ontario
579,Jan 2013,Two_storey,469200,Ontario
580,Jan 2013,Townhouse,278200,Ontario
581,Jan 2013,Apartment,277900,Ontario
582,Feb 2013,Composite,393800,Ontario
583,Feb 2013,Single_family,428600,Ontario
584,Feb 2013,One_storey,338400,Ontario
585,Feb 2013,Two_storey,470300,Ontario
586,Feb 2013,Townhouse,279200,Ontario
587,Feb 2013,Apartment,278800,Ontario
588,Mar 2013,Composite,395100,Ontario
589,Mar 2013,Single_family,430200,Ontario
590,Mar 2013,One_storey,339800,Ontario
591,Mar 2013,Two_storey,472000,Ontario
592,Mar 2013,Townhouse,279900,Ontario
593,Mar 2013,Apartment,279000,Ontario
594,Apr 2013,Composite,396400,Ontario
595,Apr 2013,Single_family,431600,Ontario
596,Apr 2013,One_storey,340300,Ontario
